                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.779,                 1.7746,                 1.8658,                0.45726,                0.36649,                0.34432,                0.15864,                 2.3372,                  1.728,                 1.8013,               0.008878,               0.008878,               0.008878
                     36,                 1.7502,                 1.7403,                 1.8581,                0.48357,                0.38624,                0.36133,                0.16812,                 2.3037,                   1.66,                   1.79,               0.008845,               0.008845,               0.008845
                     37,                 1.7719,                 1.7378,                 1.8529,                0.43909,                 0.4122,                0.36336,                0.16833,                 2.3112,                 1.6619,                 1.7832,               0.008812,               0.008812,               0.008812
                     38,                  1.751,                 1.7253,                 1.8476,                0.44109,                0.36876,                0.35437,                0.16659,                 2.3152,                 1.6695,                 1.7731,               0.008779,               0.008779,               0.008779
                     39,                 1.7413,                 1.7101,                  1.832,                0.44913,                0.41433,                0.37811,                0.17468,                 2.3259,                 1.6385,                 1.7889,               0.008746,               0.008746,               0.008746
                     40,                 1.7486,                 1.6999,                 1.8244,                0.42827,                0.41469,                0.38095,                0.18384,                 2.2875,                 1.6079,                 1.7509,               0.008713,               0.008713,               0.008713
                     41,                 1.7351,                 1.6516,                 1.8258,                0.51051,                0.42429,                0.41539,                0.19523,                 2.2771,                 1.5465,                 1.7854,                0.00868,                0.00868,                0.00868
                     42,                 1.7177,                 1.6456,                 1.8186,                 0.4592,                0.41481,                0.39505,                 0.1966,                 2.2628,                 1.5455,                 1.7352,               0.008647,               0.008647,               0.008647
                     43,                 1.7168,                 1.6407,                 1.8117,                0.48155,                0.43458,                0.41583,                0.20119,                 2.2913,                 1.5351,                 1.7607,               0.008614,               0.008614,               0.008614
                     44,                 1.7023,                 1.6287,                 1.7999,                0.51506,                0.43605,                0.43483,                0.21633,                 2.2356,                 1.4988,                 1.7125,               0.008581,               0.008581,               0.008581
                     45,                 1.6983,                 1.6155,                 1.8032,                0.52405,                0.44755,                0.45528,                0.22644,                 2.2472,                 1.4816,                 1.7175,               0.008548,               0.008548,               0.008548
                     46,                 1.6899,                 1.5904,                 1.7878,                0.53933,                0.47033,                0.45256,                  0.225,                 2.2142,                 1.4641,                 1.7187,               0.008515,               0.008515,               0.008515
                     47,                 1.6795,                 1.5936,                 1.7881,                0.50524,                0.46975,                0.44681,                0.22639,                 2.2186,                 1.4514,                 1.6818,               0.008482,               0.008482,               0.008482
                     48,                 1.6791,                   1.57,                 1.7747,                0.54837,                0.44649,                 0.4583,                0.23348,                 2.2299,                 1.4791,                 1.7104,               0.008449,               0.008449,               0.008449
                     49,                  1.666,                 1.5537,                 1.7693,                0.56111,                0.45381,                0.47188,                0.24294,                 2.2145,                 1.4143,                 1.7086,               0.008416,               0.008416,               0.008416
                     50,                 1.6629,                 1.5379,                 1.7662,                0.54513,                0.47481,                0.48418,                0.24503,                 2.2089,                 1.3871,                 1.6869,               0.008383,               0.008383,               0.008383
                     51,                 1.6507,                 1.5262,                 1.7607,                0.56905,                0.48089,                0.49708,                0.25933,                 2.1855,                 1.3819,                 1.6778,                0.00835,                0.00835,                0.00835
                     52,                  1.646,                 1.5253,                 1.7638,                0.57789,                0.46505,                0.49708,                0.25877,                 2.1822,                 1.3727,                 1.6603,               0.008317,               0.008317,               0.008317
                     53,                  1.656,                 1.5071,                 1.7547,                0.60348,                0.45254,                0.50144,                0.26347,                 2.1714,                 1.3305,                  1.653,               0.008284,               0.008284,               0.008284
                     54,                 1.6288,                 1.4793,                 1.7395,                0.59285,                0.48315,                0.50444,                0.26991,                 2.1671,                  1.351,                 1.6406,               0.008251,               0.008251,               0.008251
                     55,                 1.6268,                 1.4776,                 1.7353,                0.60467,                0.47691,                0.52778,                0.28168,                 2.1709,                  1.323,                 1.6403,               0.008218,               0.008218,               0.008218
                     56,                 1.6177,                 1.4618,                 1.7239,                 0.5562,                0.51224,                0.52351,                 0.2787,                 2.1551,                 1.3169,                 1.6351,               0.008185,               0.008185,               0.008185
                     57,                 1.6028,                 1.4441,                 1.7128,                0.57762,                0.52544,                0.52731,                0.28576,                 2.1437,                  1.301,                 1.6354,               0.008152,               0.008152,               0.008152
                     58,                 1.6062,                 1.4351,                 1.7198,                0.57239,                0.52354,                0.53312,                0.29084,                 2.1252,                 1.2647,                 1.6202,               0.008119,               0.008119,               0.008119
                     59,                 1.6059,                 1.4279,                 1.7171,                0.57659,                  0.528,                0.53557,                0.29476,                  2.104,                 1.2746,                 1.6037,               0.008086,               0.008086,               0.008086
                     60,                 1.5878,                 1.4161,                 1.6998,                0.63514,                0.51191,                 0.5523,                0.30606,                 2.1067,                 1.2564,                 1.6054,               0.008053,               0.008053,               0.008053
                     61,                 1.5907,                 1.3913,                 1.6999,                0.62566,                0.51258,                0.55378,                 0.3121,                 2.1016,                 1.2275,                 1.5883,                0.00802,                0.00802,                0.00802
                     62,                 1.5698,                 1.3862,                 1.6878,                0.60118,                0.53995,                0.56205,                0.32086,                 2.0932,                 1.2247,                 1.5884,               0.007987,               0.007987,               0.007987
                     63,                 1.5702,                 1.3759,                 1.6859,                0.65029,                0.51155,                 0.5633,                0.31869,                 2.0816,                  1.205,                  1.581,               0.007954,               0.007954,               0.007954
                     64,                 1.5726,                 1.3683,                 1.6777,                0.64441,                0.54344,                0.57559,                0.32243,                 2.0734,                 1.2029,                 1.5731,               0.007921,               0.007921,               0.007921
                     65,                 1.5511,                 1.3469,                 1.6818,                0.66055,                0.55811,                0.58885,                0.33395,                   2.06,                 1.1838,                 1.5681,               0.007888,               0.007888,               0.007888
                     66,                 1.5396,                 1.3428,                  1.664,                0.67769,                0.53544,                0.58167,                0.33257,                 2.0499,                 1.1696,                 1.5683,               0.007855,               0.007855,               0.007855
                     67,                 1.5323,                 1.3418,                 1.6605,                0.68794,                 0.5322,                0.57992,                0.33334,                  2.054,                 1.1753,                  1.548,               0.007822,               0.007822,               0.007822
                     68,                 1.5441,                 1.3197,                  1.653,                0.72001,                 0.5084,                0.59191,                0.34497,                 2.0421,                 1.1479,                 1.5499,               0.007789,               0.007789,               0.007789
                     69,                 1.5381,                 1.3107,                 1.6458,                0.74524,                0.52566,                0.60072,                  0.349,                 2.0297,                 1.1253,                 1.5412,               0.007756,               0.007756,               0.007756
                     70,                 1.5115,                 1.2829,                 1.6408,                0.64371,                 0.5745,                 0.6016,                0.35393,                 2.0222,                 1.1196,                 1.5287,               0.007723,               0.007723,               0.007723
                     71,                 1.5318,                 1.2976,                 1.6407,                0.68963,                0.56875,                0.61192,                0.35713,                  2.013,                 1.1117,                 1.5185,                0.00769,                0.00769,                0.00769
                     72,                 1.5221,                 1.2836,                 1.6241,                0.69022,                0.56055,                0.60912,                0.36408,                 2.0019,                 1.0868,                 1.5147,               0.007657,               0.007657,               0.007657
                     73,                 1.5156,                 1.2634,                 1.6274,                0.67704,                0.57593,                0.62097,                0.36768,                 2.0081,                 1.0941,                 1.5167,               0.007624,               0.007624,               0.007624
                     74,                 1.4939,                 1.2525,                 1.6136,                0.70285,                0.57318,                0.62091,                0.37074,                  1.983,                  1.096,                 1.5024,               0.007591,               0.007591,               0.007591
                     75,                 1.5003,                 1.2641,                 1.6192,                0.68239,                0.58871,                0.62575,                0.37688,                 1.9732,                  1.072,                 1.4802,               0.007558,               0.007558,               0.007558
