                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3884,                  1.755,                 1.8333,                0.60659,                0.55539,                0.57792,                0.35376,                 1.4416,                 1.5046,                 1.8837,               0.008878,               0.008878,               0.008878
                     36,                 1.3627,                 1.7109,                 1.8145,                0.65664,                0.52769,                0.58674,                 0.3612,                 1.4179,                 1.4863,                 1.8529,               0.008845,               0.008845,               0.008845
                     37,                 1.3647,                 1.7005,                 1.8071,                0.61079,                0.53724,                0.57826,                0.36295,                 1.3968,                   1.45,                 1.8464,               0.008812,               0.008812,               0.008812
                     38,                 1.3519,                 1.6845,                 1.8013,                0.58725,                0.56283,                0.58985,                0.36982,                 1.3907,                 1.4436,                 1.8292,               0.008779,               0.008779,               0.008779
                     39,                 1.3393,                 1.6709,                 1.7903,                0.56586,                0.61091,                0.60267,                0.37551,                 1.3937,                 1.4434,                 1.8397,               0.008746,               0.008746,               0.008746
                     40,                 1.3369,                 1.6458,                 1.7891,                0.58557,                0.62357,                0.61717,                0.38824,                 1.3754,                 1.3914,                 1.8173,               0.008713,               0.008713,               0.008713
                     41,                 1.3259,                 1.6123,                 1.7779,                0.64738,                 0.5938,                 0.6412,                0.40939,                 1.3638,                 1.3618,                 1.8095,                0.00868,                0.00868,                0.00868
                     42,                 1.3089,                  1.588,                 1.7645,                0.62675,                0.59499,                0.63943,                0.40616,                 1.3409,                 1.3382,                 1.7869,               0.008647,               0.008647,               0.008647
                     43,                 1.3047,                  1.591,                 1.7554,                0.65339,                0.61963,                0.66926,                0.42532,                 1.3423,                 1.3229,                 1.7799,               0.008614,               0.008614,               0.008614
                     44,                  1.292,                 1.5726,                 1.7506,                0.66914,                 0.6157,                0.67427,                0.43902,                 1.2995,                 1.2724,                 1.7403,               0.008581,               0.008581,               0.008581
                     45,                 1.2894,                 1.5458,                 1.7407,                 0.6656,                0.62726,                0.66785,                0.43219,                 1.3163,                 1.2904,                 1.7648,               0.008548,               0.008548,               0.008548
                     46,                 1.2783,                 1.5291,                 1.7391,                0.66807,                0.64805,                0.69682,                0.45101,                 1.2875,                 1.2393,                 1.7349,               0.008515,               0.008515,               0.008515
                     47,                 1.2627,                 1.5147,                 1.7207,                0.69242,                0.66572,                0.71363,                0.46947,                 1.2816,                 1.2116,                 1.7298,               0.008482,               0.008482,               0.008482
                     48,                 1.2592,                 1.4944,                 1.7207,                 0.6778,                0.66845,                0.70812,                0.47179,                 1.2766,                 1.2042,                 1.7388,               0.008449,               0.008449,               0.008449
                     49,                 1.2454,                 1.4726,                 1.7116,                0.70938,                0.70224,                0.73696,                0.49708,                 1.2526,                 1.1679,                 1.7059,               0.008416,               0.008416,               0.008416
                     50,                   1.24,                 1.4492,                 1.7002,                0.74735,                0.67841,                0.74508,                0.50056,                 1.2401,                 1.1561,                 1.6976,               0.008383,               0.008383,               0.008383
                     51,                 1.2342,                 1.4483,                 1.6871,                0.68677,                 0.7175,                0.73889,                0.50902,                 1.2297,                 1.1395,                 1.6866,                0.00835,                0.00835,                0.00835
                     52,                 1.2317,                 1.4357,                 1.6848,                0.73547,                0.68218,                 0.7436,                0.51855,                 1.2136,                 1.1228,                 1.6718,               0.008317,               0.008317,               0.008317
                     53,                   1.22,                 1.4086,                  1.676,                  0.761,                  0.697,                0.76083,                0.52622,                 1.2034,                 1.0971,                 1.6646,               0.008284,               0.008284,               0.008284
                     54,                 1.2099,                 1.3942,                 1.6714,                0.73576,                0.70507,                0.75835,                0.52256,                 1.2035,                 1.0885,                 1.6583,               0.008251,               0.008251,               0.008251
                     55,                 1.1953,                 1.3844,                 1.6572,                0.74109,                0.69502,                0.77428,                0.54989,                 1.1721,                  1.059,                 1.6294,               0.008218,               0.008218,               0.008218
                     56,                 1.1838,                 1.3582,                 1.6482,                0.80229,                0.71781,                0.78394,                0.56013,                 1.1608,                 1.0367,                 1.6186,               0.008185,               0.008185,               0.008185
                     57,                 1.1734,                 1.3358,                 1.6329,                 0.7828,                0.72998,                0.79269,                0.56496,                 1.1495,                  1.025,                 1.6024,               0.008152,               0.008152,               0.008152
                     58,                 1.1638,                  1.324,                 1.6305,                0.75188,                0.74569,                0.78781,                0.56972,                 1.1399,                 1.0048,                 1.5943,               0.008119,               0.008119,               0.008119
                     59,                 1.1671,                 1.3285,                 1.6304,                 0.7907,                0.72815,                0.80201,                0.58259,                 1.1274,                0.99966,                  1.585,               0.008086,               0.008086,               0.008086
                     60,                 1.1625,                  1.296,                 1.6196,                 0.8146,                 0.7311,                0.80921,                0.58692,                 1.1234,                0.98918,                 1.5781,               0.008053,               0.008053,               0.008053
                     61,                 1.1465,                 1.2748,                 1.6139,                0.80793,                 0.7448,                0.81052,                0.59269,                 1.1057,                0.99063,                 1.5679,                0.00802,                0.00802,                0.00802
                     62,                 1.1365,                 1.2733,                 1.5973,                0.78205,                0.74362,                0.80347,                0.59695,                 1.0831,                0.95791,                 1.5428,               0.007987,               0.007987,               0.007987
                     63,                 1.1279,                 1.2569,                 1.5885,                0.78283,                0.78319,                 0.8331,                0.61308,                 1.0924,                0.93019,                  1.552,               0.007954,               0.007954,               0.007954
                     64,                 1.1218,                 1.2488,                 1.5837,                0.80387,                 0.7578,                0.82947,                0.61637,                 1.0783,                 0.9283,                 1.5255,               0.007921,               0.007921,               0.007921
                     65,                  1.117,                  1.236,                 1.5804,                0.81624,                0.76899,                0.82878,                0.62144,                 1.0652,                0.92246,                  1.517,               0.007888,               0.007888,               0.007888
                     66,                 1.1053,                 1.2128,                 1.5741,                0.83247,                0.76832,                0.82442,                0.61677,                 1.0674,                0.91094,                 1.5234,               0.007855,               0.007855,               0.007855
                     67,                 1.1019,                 1.2054,                  1.557,                0.79413,                 0.7718,                0.82997,                0.61574,                 1.0589,                0.90358,                 1.5113,               0.007822,               0.007822,               0.007822
                     68,                 1.0958,                 1.2018,                 1.5599,                0.82066,                0.78233,                0.83825,                0.63016,                 1.0442,                0.88831,                 1.5052,               0.007789,               0.007789,               0.007789
                     69,                  1.082,                 1.1894,                 1.5492,                 0.8466,                0.77199,                0.84797,                0.64121,                 1.0323,                0.86374,                 1.4867,               0.007756,               0.007756,               0.007756
                     70,                 1.0685,                 1.1544,                  1.534,                0.80591,                0.78583,                0.84172,                0.64774,                 1.0179,                0.85412,                 1.4777,               0.007723,               0.007723,               0.007723
                     71,                 1.0743,                 1.1651,                  1.543,                 0.8436,                0.77844,                0.84975,                0.65108,                 1.0111,                 0.8407,                 1.4763,                0.00769,                0.00769,                0.00769
                     72,                 1.0613,                 1.1444,                 1.5276,                0.83429,                0.80513,                0.85068,                0.65677,                 1.0039,                0.82239,                 1.4628,               0.007657,               0.007657,               0.007657
                     73,                 1.0603,                 1.1403,                 1.5227,                0.81666,                0.82153,                0.86634,                0.66738,                 1.0077,                0.82211,                 1.4621,               0.007624,               0.007624,               0.007624
                     74,                 1.0352,                 1.1187,                 1.5057,                0.82467,                0.81782,                0.85538,                0.66022,                 0.9941,                  0.816,                 1.4443,               0.007591,               0.007591,               0.007591
                     75,                  1.049,                 1.1388,                 1.5148,                0.82728,                0.80337,                0.86325,                0.67485,                0.97693,                0.81552,                 1.4277,               0.007558,               0.007558,               0.007558
