               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  37,              1.4972,              1.9722,              1.6671,             0.52911,              0.5103,             0.51382,             0.30051,              1.4759,              1.5813,              1.8005,            0.008812,            0.008812,            0.008812
                  38,              1.4874,              1.9574,              1.6618,             0.50647,             0.53832,              0.5179,             0.30629,              1.5053,              1.5885,              1.8133,            0.008779,            0.008779,            0.008779
                  39,              1.4919,              1.9531,              1.6616,             0.52885,             0.51792,              0.5151,             0.29984,              1.4768,              1.5686,              1.8017,            0.008746,            0.008746,            0.008746
                  40,               1.478,              1.9267,              1.6616,             0.57899,              0.5157,             0.52999,             0.31488,              1.4615,              1.5781,               1.788,            0.008713,            0.008713,            0.008713
                  41,              1.4594,              1.9089,              1.6475,             0.53152,             0.51994,             0.51042,             0.30179,                1.47,              1.5943,               1.797,             0.00868,             0.00868,             0.00868
                  42,              1.4606,              1.9177,              1.6474,             0.59495,             0.52494,             0.54207,             0.32379,              1.4623,              1.5646,              1.7891,            0.008647,            0.008647,            0.008647
                  43,              1.4559,              1.8954,              1.6497,             0.57994,             0.52279,             0.54589,             0.32628,              1.4317,               1.524,              1.7548,            0.008614,            0.008614,            0.008614
                  44,              1.4586,              1.8897,              1.6497,             0.60591,             0.55631,              0.5644,             0.34262,              1.4316,              1.4823,               1.737,            0.008581,            0.008581,            0.008581
                  45,               1.454,              1.8733,              1.6332,             0.59777,             0.54753,             0.56878,             0.33821,              1.4214,              1.4792,              1.7463,            0.008548,            0.008548,            0.008548
                  46,              1.4355,              1.8372,              1.6178,             0.56902,             0.56405,             0.57335,             0.34801,              1.4253,              1.4548,              1.7413,            0.008515,            0.008515,            0.008515
                  47,              1.4359,              1.8391,              1.6175,             0.60118,             0.54585,             0.57989,             0.35577,              1.3953,              1.4308,              1.7213,            0.008482,            0.008482,            0.008482
                  48,              1.4282,              1.8147,              1.6118,             0.60412,             0.57256,             0.59919,              0.3656,               1.388,              1.4341,              1.7091,            0.008449,            0.008449,            0.008449
                  49,              1.4343,              1.8092,              1.6082,             0.57774,             0.55977,             0.58757,             0.36722,              1.3821,              1.4172,              1.7181,            0.008416,            0.008416,            0.008416
                  50,              1.4146,              1.8083,              1.5989,             0.61264,             0.57575,             0.60453,             0.38103,              1.3768,              1.3851,              1.7007,            0.008383,            0.008383,            0.008383
                  51,              1.4146,                1.79,              1.5988,             0.63153,             0.60201,             0.61544,             0.38442,              1.3684,              1.4086,              1.6949,             0.00835,             0.00835,             0.00835
                  52,              1.4096,              1.7939,              1.5943,             0.60693,             0.57902,              0.6093,              0.3824,              1.3801,              1.3757,              1.6897,            0.008317,            0.008317,            0.008317
                  53,              1.4032,              1.7787,              1.5918,             0.62844,             0.59911,             0.61584,             0.38797,               1.354,              1.3707,              1.6923,            0.008284,            0.008284,            0.008284
                  54,              1.4039,              1.7866,              1.5919,             0.64278,             0.61174,             0.62913,              0.4016,              1.3508,              1.3474,              1.6837,            0.008251,            0.008251,            0.008251
                  55,              1.3998,              1.7351,              1.5853,             0.60301,             0.59216,             0.60962,             0.37905,              1.3669,              1.3553,              1.6868,            0.008218,            0.008218,            0.008218
                  56,              1.3816,              1.7369,               1.586,              0.6562,             0.60941,             0.63949,             0.40671,              1.3329,              1.3142,              1.6687,            0.008185,            0.008185,            0.008185
                  57,              1.3881,              1.7299,              1.5763,             0.66337,             0.62455,             0.64168,             0.41038,               1.328,               1.304,              1.6489,            0.008152,            0.008152,            0.008152
                  58,              1.3764,              1.7182,              1.5716,             0.67525,             0.61833,             0.64785,             0.41706,              1.3152,              1.2902,              1.6576,            0.008119,            0.008119,            0.008119
                  59,              1.3698,              1.7073,              1.5683,             0.69015,             0.61797,             0.65686,             0.42573,              1.3077,              1.3075,              1.6436,            0.008086,            0.008086,            0.008086
                  60,              1.3786,              1.7004,              1.5746,             0.66984,             0.61931,             0.66285,             0.43189,               1.291,              1.2501,              1.6186,            0.008053,            0.008053,            0.008053
                  61,              1.3772,              1.6998,              1.5717,             0.69439,             0.60467,             0.67035,             0.43735,              1.3096,              1.2343,              1.6332,             0.00802,             0.00802,             0.00802
                  62,              1.3589,              1.6693,              1.5512,             0.68488,                0.62,             0.67711,             0.44608,              1.2838,              1.2372,              1.6141,            0.007987,            0.007987,            0.007987
                  63,              1.3534,               1.661,               1.557,             0.72242,             0.65323,             0.71468,             0.47371,              1.2753,              1.1865,              1.6101,            0.007954,            0.007954,            0.007954
                  64,              1.3356,              1.6344,              1.5422,             0.74902,             0.63165,             0.70295,             0.47479,              1.2744,              1.2019,              1.5933,            0.007921,            0.007921,            0.007921
                  65,              1.3499,              1.6563,              1.5515,             0.69832,               0.656,             0.69265,             0.46554,              1.2612,               1.183,              1.5911,            0.007888,            0.007888,            0.007888
                  66,                1.34,              1.6396,              1.5437,             0.71606,             0.65565,             0.71372,             0.47775,              1.2456,              1.1683,              1.5761,            0.007855,            0.007855,            0.007855
                  67,              1.3337,              1.6215,              1.5306,             0.71152,             0.66124,              0.7204,              0.4821,              1.2393,              1.1708,               1.566,            0.007822,            0.007822,            0.007822
                  68,              1.3367,              1.6158,              1.5322,             0.67401,             0.65579,             0.70149,              0.4706,              1.2486,              1.1883,              1.5736,            0.007789,            0.007789,            0.007789
                  69,              1.3235,              1.5847,              1.5163,             0.70704,             0.68443,             0.73498,             0.49396,              1.2368,              1.1343,              1.5635,            0.007756,            0.007756,            0.007756
                  70,               1.333,              1.6308,              1.5281,             0.72249,             0.66571,             0.72502,              0.4901,              1.2274,               1.135,              1.5486,            0.007723,            0.007723,            0.007723
                  71,              1.3271,              1.5912,              1.5293,             0.72688,             0.67084,             0.73194,               0.497,              1.2215,              1.0946,              1.5412,             0.00769,             0.00769,             0.00769
                  72,              1.3163,              1.5973,              1.5176,             0.76342,             0.68147,             0.74932,             0.51379,              1.2133,              1.0901,              1.5394,            0.007657,            0.007657,            0.007657
                  73,              1.3036,               1.578,              1.5102,             0.71067,              0.6948,             0.73717,             0.50203,              1.2114,              1.1023,              1.5414,            0.007624,            0.007624,            0.007624
                  74,              1.2947,              1.5583,              1.5002,             0.76598,              0.7032,             0.75947,             0.51625,               1.203,              1.0947,              1.5284,            0.007591,            0.007591,            0.007591
                  75,              1.2953,              1.5412,              1.5005,             0.74952,             0.70509,             0.75733,             0.51724,              1.1913,              1.0798,              1.5216,            0.007558,            0.007558,            0.007558
                  76,              1.3015,              1.5488,              1.5143,              0.7703,             0.70436,             0.76312,             0.53549,              1.1786,              1.0537,              1.5164,            0.007525,            0.007525,            0.007525
