                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.482,                 1.4392,                 1.5169,                0.56932,                0.51378,                0.52762,                0.31445,                  1.544,                 1.3775,                 1.6307,               0.008878,               0.008878,               0.008878
                     36,                 1.4585,                 1.4164,                 1.4964,                0.53965,                0.53926,                0.53362,                0.32266,                 1.5098,                 1.3355,                   1.61,               0.008845,               0.008845,               0.008845
                     37,                 1.4489,                 1.4016,                 1.5007,                0.56305,                0.51064,                0.53994,                0.32194,                 1.5224,                 1.3543,                 1.6227,               0.008812,               0.008812,               0.008812
                     38,                 1.4457,                 1.3803,                 1.4918,                0.55913,                0.53336,                0.54835,                0.33049,                 1.5141,                 1.3112,                 1.6058,               0.008779,               0.008779,               0.008779
                     39,                 1.4385,                 1.3785,                 1.4868,                0.56344,                0.52953,                 0.5469,                0.33519,                 1.5082,                 1.3227,                 1.6029,               0.008746,               0.008746,               0.008746
                     40,                 1.4339,                 1.3724,                 1.4897,                 0.6318,                0.53602,                0.56756,                 0.3525,                 1.4739,                 1.2991,                 1.5688,               0.008713,               0.008713,               0.008713
                     41,                 1.4135,                 1.3342,                 1.4741,                0.63047,                0.57327,                0.57665,                0.35642,                 1.4807,                 1.2583,                 1.5789,                0.00868,                0.00868,                0.00868
                     42,                 1.4019,                  1.321,                 1.4642,                0.65758,                0.51976,                0.57794,                0.35522,                 1.4544,                 1.2495,                 1.5612,               0.008647,               0.008647,               0.008647
                     43,                 1.4007,                 1.3264,                 1.4628,                 0.5989,                0.55803,                0.57564,                0.36132,                 1.4518,                 1.2474,                 1.5567,               0.008614,               0.008614,               0.008614
                     44,                 1.3874,                  1.314,                 1.4546,                0.63348,                0.56506,                0.59659,                0.37623,                 1.4306,                 1.2016,                 1.5442,               0.008581,               0.008581,               0.008581
                     45,                  1.381,                 1.3003,                 1.4476,                0.61876,                0.57646,                0.60501,                0.37506,                 1.4287,                 1.2255,                 1.5293,               0.008548,               0.008548,               0.008548
                     46,                 1.3838,                  1.277,                 1.4461,                0.66653,                   0.57,                0.60892,                0.38222,                 1.4118,                 1.1822,                 1.5226,               0.008515,               0.008515,               0.008515
                     47,                  1.373,                 1.2849,                 1.4416,                0.69275,                0.54864,                0.62447,                0.39229,                  1.426,                 1.1853,                 1.5319,               0.008482,               0.008482,               0.008482
                     48,                 1.3654,                 1.2575,                 1.4328,                0.67687,                0.57138,                0.62499,                 0.3913,                 1.4091,                 1.1739,                 1.5188,               0.008449,               0.008449,               0.008449
                     49,                 1.3501,                 1.2517,                 1.4313,                0.64615,                0.59457,                0.62848,                0.40494,                 1.3953,                 1.1374,                 1.5072,               0.008416,               0.008416,               0.008416
                     50,                 1.3585,                 1.2321,                 1.4287,                0.68669,                0.58648,                0.64078,                0.41304,                 1.3925,                  1.112,                 1.5116,               0.008383,               0.008383,               0.008383
                     51,                 1.3376,                 1.2227,                 1.4194,                0.69037,                0.58892,                0.64207,                0.41562,                 1.3669,                 1.0964,                 1.4954,                0.00835,                0.00835,                0.00835
                     52,                 1.3459,                 1.2222,                 1.4198,                0.71278,                0.61371,                0.66765,                0.43666,                  1.352,                 1.0719,                 1.4768,               0.008317,               0.008317,               0.008317
                     53,                 1.3238,                 1.2013,                  1.412,                  0.706,                0.60768,                0.65493,                0.42961,                 1.3514,                 1.0772,                 1.4699,               0.008284,               0.008284,               0.008284
                     54,                 1.3171,                 1.1878,                 1.4035,                0.76396,                0.59909,                0.67516,                0.44304,                 1.3333,                 1.0433,                 1.4575,               0.008251,               0.008251,               0.008251
                     55,                 1.3087,                 1.1786,                 1.3997,                  0.711,                0.64528,                0.68852,                0.45822,                 1.3085,                 1.0416,                 1.4422,               0.008218,               0.008218,               0.008218
                     56,                 1.2968,                 1.1659,                 1.3926,                0.75016,                 0.6033,                0.68632,                0.45768,                 1.3045,                 1.0444,                 1.4354,               0.008185,               0.008185,               0.008185
                     57,                 1.2864,                 1.1536,                 1.3906,                0.76925,                0.62828,                 0.7032,                 0.4643,                 1.3178,                 1.0198,                 1.4426,               0.008152,               0.008152,               0.008152
                     58,                 1.2813,                 1.1323,                 1.3842,                0.77224,                0.63468,                0.71087,                0.47812,                 1.2891,                0.98678,                  1.424,               0.008119,               0.008119,               0.008119
                     59,                 1.2822,                   1.14,                 1.3834,                0.76544,                 0.6395,                0.71148,                0.47824,                 1.2811,                0.98615,                 1.4148,               0.008086,               0.008086,               0.008086
                     60,                 1.2779,                 1.1224,                 1.3771,                0.74381,                0.65452,                0.71869,                0.48746,                 1.2664,                0.98094,                 1.4044,               0.008053,               0.008053,               0.008053
                     61,                 1.2669,                 1.1043,                 1.3742,                 0.7435,                0.66609,                0.72031,                0.49161,                 1.2549,                0.96703,                 1.3998,                0.00802,                0.00802,                0.00802
                     62,                 1.2443,                 1.0958,                 1.3565,                 0.7537,                0.65026,                0.71933,                0.49202,                 1.2516,                0.93148,                 1.3908,               0.007987,               0.007987,               0.007987
                     63,                 1.2446,                 1.0877,                  1.354,                0.78453,                0.64965,                0.74012,                0.50785,                 1.2417,                0.92289,                 1.3868,               0.007954,               0.007954,               0.007954
                     64,                 1.2419,                 1.0795,                 1.3555,                0.70163,                0.69272,                0.73777,                0.50572,                 1.2489,                0.92004,                 1.3907,               0.007921,               0.007921,               0.007921
                     65,                 1.2325,                 1.0644,                 1.3482,                0.74202,                 0.6971,                0.74339,                0.50955,                 1.2209,                0.91335,                 1.3707,               0.007888,               0.007888,               0.007888
                     66,                 1.2343,                 1.0585,                 1.3465,                0.82237,                0.65682,                 0.7515,                0.51771,                 1.2196,                0.89657,                 1.3703,               0.007855,               0.007855,               0.007855
                     67,                 1.2132,                 1.0444,                 1.3289,                0.79655,                0.66113,                0.74575,                0.52016,                 1.2171,                0.89484,                 1.3634,               0.007822,               0.007822,               0.007822
                     68,                 1.2102,                 1.0415,                 1.3336,                0.79459,                 0.6679,                0.74127,                0.51818,                  1.209,                0.88907,                 1.3561,               0.007789,               0.007789,               0.007789
                     69,                 1.1936,                 1.0277,                 1.3305,                0.78159,                0.68088,                0.75428,                0.53104,                 1.1939,                0.87037,                 1.3487,               0.007756,               0.007756,               0.007756
                     70,                 1.1919,                 1.0035,                 1.3179,                0.76929,                0.69198,                0.75579,                0.53402,                 1.1871,                0.86093,                  1.339,               0.007723,               0.007723,               0.007723
                     71,                 1.1973,                 1.0186,                  1.327,                0.78934,                 0.6934,                0.76803,                0.54181,                 1.1763,                0.84967,                 1.3352,                0.00769,                0.00769,                0.00769
                     72,                 1.1804,                0.99309,                 1.3144,                0.80449,                0.69411,                0.77074,                0.54676,                 1.1623,                0.83401,                 1.3215,               0.007657,               0.007657,               0.007657
                     73,                 1.1769,                  1.003,                 1.3185,                0.81451,                0.70265,                0.77912,                0.55499,                 1.1648,                0.82688,                 1.3241,               0.007624,               0.007624,               0.007624
                     74,                 1.1589,                0.97869,                 1.3022,                0.83498,                0.69252,                0.79022,                0.56127,                 1.1554,                0.81801,                 1.3193,               0.007591,               0.007591,               0.007591
                     75,                 1.1682,                0.99092,                 1.3115,                 0.8298,                0.70991,                0.79211,                0.56389,                 1.1526,                0.81245,                 1.3214,               0.007558,               0.007558,               0.007558
                     76,                  1.151,                0.97709,                 1.3023,                0.84324,                 0.7097,                0.79603,                 0.5717,                 1.1425,                0.80231,                 1.3057,               0.007525,               0.007525,               0.007525
                     77,                 1.1401,                0.96748,                  1.297,                0.83363,                0.72244,                0.80329,                0.57529,                 1.1393,                0.79477,                 1.3045,               0.007492,               0.007492,               0.007492
                     78,                 1.1395,                0.94899,                 1.2903,                0.83516,                0.71322,                0.80571,                0.58134,                 1.1263,                0.78708,                 1.2948,               0.007459,               0.007459,               0.007459
                     79,                 1.1427,                0.94804,                 1.2954,                0.86387,                0.71522,                0.80317,                0.58245,                 1.1085,                0.78669,                 1.2896,               0.007426,               0.007426,               0.007426
                     80,                 1.1221,                0.93572,                 1.2856,                0.84324,                0.74044,                0.80716,                0.58962,                 1.1012,                0.76674,                 1.2825,               0.007393,               0.007393,               0.007393
                     81,                 1.1182,                0.92365,                 1.2808,                0.86094,                0.73622,                0.81541,                0.59441,                 1.0846,                0.76186,                 1.2695,                0.00736,                0.00736,                0.00736
                     82,                 1.1117,                0.92464,                 1.2727,                0.85411,                0.74121,                0.81981,                 0.6013,                 1.0769,                0.74952,                 1.2631,               0.007327,               0.007327,               0.007327
